Date,NSW,VIC,QLD,SA,WA,TAS,NT,ACT
20/05,1,0,0,0,0,0,0,0
21/05,1,0,0,0,0,0,0,0
22/05,1,0,0,0,0,0,0,0
23/05,1,0,0,0,0,0,0,0
24/05,1,0,0,0,0,0,0,0
25/05,1,0,0,0,0,0,0,0
26/05,1,0,0,0,0,0,0,0
27/05,1,1,0,0,0,0,0,0
28/05,1,0,0,0,0,0,0,0
29/05,1,0,0,0,0,0,0,0
30/05,1,0,0,0,0,0,0,0
31/05,1,0,0,0,0,0,0,0
01/06,1,0,0,0,0,0,0,0
02/06,1,0,0,0,0,0,0,0
03/06,0,0,0,0,0,0,0,0
04/06,0,0,0,0,0,0,0,0
05/06,0,0,0,0,0,0,0,0
06/06,0,0,0,0,0,0,0,0
07/06,0,0,0,0,0,0,0,0
08/06,0,0,0,0,0,0,0,0
09/06,0,0,0,0,0,0,0,0
10/06,0,0,0,0,0,0,0,0
11/06,0,0,0,0,0,0,0,0
12/06,0,0,0,0,0,0,0,0
13/06,0,0,0,0,0,0,0,0
14/06,0,1,0,0,0,0,0,0
15/06,0,1,0,0,0,0,0,0
16/06,0,1,0,0,0,0,0,0
17/06,0,1,0,0,0,0,0,0
18/06,0,1,0,0,0,0,0,0
19/06,0,1,0,0,0,0,0,0
20/06,0,1,0,0,0,0,0,0
21/06,0,1,0,0,0,0,0,0
22/06,1,0,0,0,0,0,0,0
23/06,0,0,0,0,0,0,0,0
24/06,0,0,0,0,0,0,0,0
25/06,1,0,0,0,0,0,0,0
26/06,1,0,0,0,0,0,0,0
27/06,1,0,0,0,0,0,0,0
28/06,2,0,0,0,0,0,0,0
29/06,1,0,0,0,0,0,0,0
30/06,1,0,0,0,0,0,0,0
01/07,2,0,1,0,0,0,0,0
02/07,3,0,1,0,0,0,0,0
03/07,5,0,1,0,0,0,0,0
04/07,5,1,1,0,0,0,0,0
05/07,4,2,1,0,0,0,0,0
06/07,6,2,1,0,0,0,0,0
07/07,7,2,1,0,0,0,0,0
08/07,11,0,1,0,1,0,0,0
09/07,10,0,1,0,1,0,0,0
10/07,16,0,1,0,1,0,0,0
11/07,15,0,1,0,1,0,0,0
12/07,18,0,1,0,1,0,0,0
